"kolumna_proporcji","kolumna_wartości"
"geny w salmon",17691
"geny w geo",18384
"suma genów",20572
"geny wspólne",15503
"geny unikatowe dla salmon",2188
"geny unikatowe dla geo",2881
"wspóle wobec wszystkich",0.753597122302158
"unikatowe salmon wobec wszystkich unikatowych",0.431643322154271
"unikatowe geo wobec wszystkich unikatowych",0.568356677845729
