"kolumna_proporcji","kolumna_wartości"
"geny w salmon",25589
"geny w geo",20853
"suma genów",27831
"geny wspólne",18611
"geny unikatowe dla salmon",6978
"geny unikatowe dla geo",2242
"wspóle wobec wszystkich",0.668714742553268
"unikatowe salmon wobec wszystkich unikatowych",0.756832971800434
"unikatowe geo wobec wszystkich unikatowych",0.243167028199566
